timestep,seed,scenario,agent,workload_level,queue_avg,action,selected_latency_s,selected_energy_j,latency_weight,energy_weight,reward,actor_loss,critic_loss,td_error,td_lat,td_eng,replay_priority,phase
0,40,ABLATION2_repeated_spike,MOPER_NO_WSHIFT,50,4.0,1,0.09145454545454544,0.11316363636363636,0.5,0.5,-0.1023090909090909,,,,,,,normal
1,40,ABLATION2_repeated_spike,MOPER_NO_WSHIFT,50,0.0,1,0.09,0.11199999999999999,0.5,0.5,-0.10099999999999999,,,,,,,normal
2,40,ABLATION2_repeated_spike,MOPER_NO_WSHIFT,50,1.0,0,0.060625,0.197,0.5,0.5,-0.1288125,,,,,,,normal
3,40,ABLATION2_repeated_spike,MOPER_NO_WSHIFT,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5,0.5,-0.12954375,,,,,,,normal
4,40,ABLATION2_repeated_spike,MOPER_NO_WSHIFT,50,0.0,1,0.09,0.11199999999999999,0.5,0.5,-0.10099999999999999,,,,,,,normal
5,40,ABLATION2_repeated_spike,MOPER_NO_WSHIFT,50,0.0,1,0.09,0.11199999999999999,0.5,0.5,-0.10099999999999999,,,,,,,normal
6,40,ABLATION2_repeated_spike,MOPER_NO_WSHIFT,50,1.0,0,0.060625,0.197,0.5,0.5,-0.1288125,,,,,,,normal
7,40,ABLATION2_repeated_spike,MOPER_NO_WSHIFT,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5,0.5,-0.12954375,,,,,,,normal
8,40,ABLATION2_repeated_spike,MOPER_NO_WSHIFT,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.5,0.5,-0.13020187500000002,,,,,,,normal
9,40,ABLATION2_repeated_spike,MOPER_NO_WSHIFT,50,0.0,1,0.09,0.11199999999999999,0.5,0.5,-0.10099999999999999,,,,,,,normal
10,40,ABLATION2_repeated_spike,MOPER_NO_WSHIFT,50,1.0,0,0.060625,0.197,0.5,0.5,-0.1288125,,,,,,,normal
11,40,ABLATION2_repeated_spike,MOPER_NO_WSHIFT,50,0.0,1,0.09,0.11199999999999999,0.5,0.5,-0.10099999999999999,,,,,,,normal
12,40,ABLATION2_repeated_spike,MOPER_NO_WSHIFT,50,0.0,1,0.09,0.11199999999999999,0.5,0.5,-0.10099999999999999,,,,,,,normal
