timestep,seed,scenario,agent,workload_level,queue_avg,action,selected_latency_s,selected_energy_j,latency_weight,energy_weight,reward,actor_loss,critic_loss,td_error,td_lat,td_eng,replay_priority,phase
0,20,scenario2_single_spike,moper,50,10.0,0,0.06625,0.20600000000000002,0.36247926868282854,0.6375207313171715,-0.15534352220157474,,,,,,,normal
1,20,scenario2_single_spike,moper,50,10.0,0,0.06625,0.20600000000000002,0.4102759092251923,0.5897240907748077,-0.14866394168577937,,,,,,,normal
2,20,scenario2_single_spike,moper,50,10.0,0,0.06625,0.20600000000000002,0.4468403392401006,0.5531596607598994,-0.14355406259119596,,,,,,,normal
3,20,scenario2_single_spike,moper,50,10.0,0,0.06625,0.20600000000000002,0.4748121282015054,0.5251878717984946,-0.13964500508383962,,,,,,,normal
4,20,scenario2_single_spike,moper,50,4.0,1,0.09145454545454544,0.11316363636363636,0.5030954009852691,0.49690459901473094,-0.10224189256770161,,,,,,,normal
5,20,scenario2_single_spike,moper,50,4.6,0,0.062875,0.2006,0.5178558537673029,0.4821441462326971,-0.1292783025398982,,,,,,,normal
6,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5362721921305876,0.46372780786941237,-0.10020201177312707,,,,,,,normal
7,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5508488264179371,0.4491511735820629,-0.09988132581880538,,,,,,,normal
8,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5624605065512893,0.4375394934487107,-0.09962586885587163,,,,,,,normal
9,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5717782786418614,0.42822172135813863,-0.09942087786987905,,,,,,,normal
10,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5793172041249011,0.42068279587509894,-0.09925502150925217,,,,,,,normal
11,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.585472879393005,0.41452712060699504,-0.09911959665335388,,,,,,,normal
12,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5905493862107994,0.40945061378920056,-0.09900791350336241,,,,,,,normal
13,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5947806852770673,0.4052193147229327,-0.09891482492390452,,,,,,,normal
14,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5909287827308745,0.40907121726912554,-0.116412087255077,,,,,,,normal
15,20,scenario2_single_spike,moper,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5879358900457112,0.41206410995428877,-0.1175218146321257,,,,,,,normal
16,20,scenario2_single_spike,moper,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.585593914831645,0.414406085168355,-0.11847411776694863,,,,,,,normal
17,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5909461910034383,0.40905380899656174,-0.09899918379792436,,,,,,,normal
18,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5879509671615213,0.4120490328384787,-0.11681818685334755,,,,,,,normal
19,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5929579270223474,0.4070420729776526,-0.09895492560550835,,,,,,,normal
20,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5971141012357106,0.4028858987642894,-0.09886348977281437,,,,,,,normal
21,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5931871825976243,0.40681281740237574,-0.116104097973249,,,,,,,normal
22,20,scenario2_single_spike,moper,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5901197481679508,0.40988025183204924,-0.11722325392858904,,,,,,,normal
23,20,scenario2_single_spike,moper,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.5877040116270426,0.41229598837295744,-0.11818500021690626,,,,,,,normal
24,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5929809209237529,0.4070190790762471,-0.09895441973967742,,,,,,,normal
25,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5899128802150847,0.4100871197849153,-0.11655063096066783,,,,,,,normal
26,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5948466484716592,0.40515335152834075,-0.0989133737336235,,,,,,,normal
27,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5989301448652546,0.40106985513474536,-0.0988235368129644,,,,,,,normal
28,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6023465230105038,0.39765347698949616,-0.09874837649376891,,,,,,,normal
29,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5978319447016307,0.4021680552983693,-0.1154706685413151,,,,,,,normal
30,20,scenario2_single_spike,moper,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.594293520314416,0.40570647968558404,-0.11665264710401542,,,,,,,normal
31,20,scenario2_single_spike,moper,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.5914963885842087,0.4085036114157913,-0.11766538294764892,,,,,,,normal
32,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5964525434932447,0.4035474565067553,-0.09887804404314861,,,,,,,normal
33,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6005342430503647,0.39946575694963526,-0.09878824665289197,,,,,,,normal
34,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5965246797086357,0.40347532029136435,-0.11564894680473481,,,,,,,normal
35,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6006962417918368,0.3993037582081632,-0.09878468268057958,,,,,,,normal
36,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5967518234146548,0.4032481765853452,-0.11561797008182645,,,,,,,normal
37,20,scenario2_single_spike,moper,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.593642257065542,0.40635774293445803,-0.1167416829309271,,,,,,,normal
38,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5984210732432917,0.40157892675670825,-0.09883473638864758,,,,,,,normal
39,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5949422093442452,0.40505779065575476,-0.11586475620067856,,,,,,,normal
40,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5995199786649116,0.4004800213350884,-0.09881056046937195,,,,,,,normal
41,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6032917100126329,0.39670828998736707,-0.09872758237972207,,,,,,,normal
42,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5990315122149198,0.4009684877850802,-0.11530707752169031,,,,,,,normal
43,20,scenario2_single_spike,moper,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5956705919823556,0.4043294080176444,-0.11646438419361221,,,,,,,normal
44,20,scenario2_single_spike,moper,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.5929925509854166,0.4070074490145834,-0.11746038438604442,,,,,,,normal
45,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5980201525304147,0.40197984746958526,-0.09884355664433087,,,,,,,normal
46,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6021378009458764,0.39786219905412357,-0.0987529683791907,,,,,,,normal
47,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5981413858793629,0.40185861412063706,-0.11542846850070189,,,,,,,normal
48,20,scenario2_single_spike,moper,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5949815377208088,0.40501846227919125,-0.11655858652434394,,,,,,,normal
49,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5997098581002778,0.40029014189972223,-0.09880638312179388,,,,,,,normal
50,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6035902857224482,0.3964097142775518,-0.09872101371410613,,,,,,,normal
51,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.606807817919576,0.39319218208042395,-0.09865022800576931,,,,,,,normal
52,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.6021110697008433,0.39788893029915673,-0.11488710286954751,,,,,,,normal
53,20,scenario2_single_spike,moper,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5984037075780171,0.4015962924219829,-0.11609073312774035,,,,,,,normal
54,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6026929095124146,0.3973070904875854,-0.09874075599072688,,,,,,,normal
55,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.598819291183151,0.401180708816849,-0.11533601916489777,,,,,,,normal
56,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.603065360867234,0.39693463913276605,-0.09873256206092085,,,,,,,normal
57,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5991569383513509,0.40084306164864913,-0.11528997253233453,,,,,,,normal
58,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6033738986829038,0.3966261013170962,-0.0987257742289761,,,,,,,normal
59,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.599441542424547,0.40055845757545305,-0.11525115965185243,,,,,,,normal
60,20,scenario2_single_spike,moper,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5963189332312161,0.4036810667687839,-0.11637574784062737,,,,,,,normal
61,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6010591944821264,0.3989408055178736,-0.09877669772139322,,,,,,,normal
62,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5975305699717313,0.40246943002826874,-0.11551176852010515,,,,,,,normal
63,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6020439628252586,0.3979560371747414,-0.0987550328178443,-0.07774326950311661,0.017143111675977707,0.10908351093530655,0.07934170961380005,0.1526740938425064,0.18494269251823425,normal
64,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5983399615144962,0.4016600384855038,-0.11540138774846058,-0.054713234305381775,0.0114981047809124,0.10993299633264542,0.07940647751092911,0.15294091403484344,0.1850908398628235,normal
65,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6027164159937162,0.39728358400628383,-0.09874023884813823,-0.04516346752643585,0.009615401737391949,0.11310864239931107,0.08029729127883911,0.1585833877325058,0.19105489552021027,normal
66,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5989059814013883,0.4010940185986117,-0.11532419678638568,-0.04081350192427635,0.008753686212003231,0.11796033382415771,0.0826176106929779,0.16640037298202515,0.19914847612380981,normal
67,20,scenario2_single_spike,moper,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5958766725530763,0.4041233274469237,-0.11643621040358756,-0.040885914117097855,0.009183844551444054,0.1203184649348259,0.0823378637433052,0.17252904176712036,0.20421001315116882,normal
68,20,scenario2_single_spike,moper,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.5934402565520123,0.40655974344798773,-0.11739904144820537,-0.05826689302921295,0.01409006118774414,0.12257220596075058,0.08382949978113174,0.17695432901382446,0.2082797884941101,normal
69,20,scenario2_single_spike,moper,50,3.439,0,0.062149375,0.199439,0.5914540079598164,0.4085459920401836,-0.11823850104244979,-0.0540587455034256,0.013602383434772491,0.12751424312591553,0.08403024077415466,0.18831391632556915,0.21845346689224243,normal
70,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5969396524643041,0.40306034753569586,-0.0988673276457853,-0.05727832764387131,0.01509355753660202,0.12515665590763092,0.08345995098352432,0.18476004898548126,0.214720219373703,normal
71,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6014065390199015,0.3985934609800985,-0.09876905614156217,-0.041393980383872986,0.010890871286392212,0.13041260838508606,0.08434807509183884,0.19549717009067535,0.225311279296875,normal
72,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.597671561515991,0.402328438484009,-0.11549254079825672,-0.05986202508211136,0.01798546500504017,0.1322646141052246,0.08063274621963501,0.2075878381729126,0.233149915933609,normal
73,20,scenario2_single_spike,moper,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5947063338277596,0.4052936661722404,-0.11659621033657243,-0.06414313614368439,0.019715555012226105,0.13568755984306335,0.08293525129556656,0.21058273315429688,0.23775935173034668,normal
74,20,scenario2_single_spike,moper,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.5923253403702824,0.4076746596297176,-0.1175518030824903,-0.06270965933799744,0.018729692324995995,0.13382846117019653,0.08299142867326736,0.20731425285339355,0.23556816577911377,normal
75,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5975811566478648,0.4024188433521352,-0.09885321455374696,-0.0705634206533432,0.022143935784697533,0.13937518000602722,0.08473450690507889,0.21731926500797272,0.244989275932312,normal
76,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6018739564598479,0.39812604354015213,-0.09875877295788334,-0.06871293485164642,0.022437788546085358,0.14141061902046204,0.08431032299995422,0.22334353625774384,0.25043439865112305,normal
77,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.5980061912254286,0.40199380877457136,-0.11544690567163217,-0.07066132128238678,0.022874556481838226,0.14059476554393768,0.08654110878705978,0.2178683578968048,0.24643094837665558,normal
78,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6022694253598626,0.3977305746401374,-0.09875007264208302,-0.06646678596735,0.023612651973962784,0.1393326222896576,0.08153179287910461,0.2214673012495041,0.2493133842945099,normal
79,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6057841836376708,0.39421581636232916,-0.09867274795997125,-0.07154333591461182,0.02568197064101696,0.14736118912696838,0.08390452712774277,0.2371979057788849,0.26475346088409424,normal
80,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.6013122756541749,0.3986877243458251,-0.1149960384076619,-0.07532582432031631,0.02640988864004612,0.15014047920703888,0.08387233316898346,0.2426959127187729,0.26909971237182617,normal
81,20,scenario2_single_spike,moper,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.597774720416007,0.402225279583993,-0.11617672353512666,-0.07555236667394638,0.026567019522190094,0.14955535531044006,0.08678264915943146,0.23894429206848145,0.26615598797798157,normal
82,20,scenario2_single_spike,moper,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.5949473360725811,0.4050526639274189,-0.11719254706384523,-0.07572835683822632,0.027746839448809624,0.15346398949623108,0.0836862325668335,0.2516278326511383,0.2765404284000397,normal
83,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.5998467633878376,0.4001532366121624,-0.09880337120546756,-0.07893448323011398,0.026858877390623093,0.15069684386253357,0.08828236162662506,0.23804324865341187,0.2662937045097351,normal
84,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6038529827850434,0.3961470172149566,-0.09871523437872903,-0.07831370830535889,0.02814844250679016,0.15374906361103058,0.0881904885172844,0.24658450484275818,0.27474719285964966,normal
85,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.599758948831388,0.40024105116861197,-0.11520787335311947,-0.06926145404577255,0.027154089882969856,0.14889398217201233,0.0863853320479393,0.239078551530838,0.26619189977645874,normal
86,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6038362932836342,0.3961637067163658,-0.09871560154776005,-0.07750336825847626,0.027283400297164917,0.15104329586029053,0.08906172215938568,0.23650655150413513,0.26716160774230957,normal
87,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6071968604798991,0.39280313952010093,-0.09864166906944222,-0.07709264755249023,0.02642262727022171,0.14894376695156097,0.08621235191822052,0.23923629522323608,0.2663629651069641,normal
88,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.6026010047380439,0.3973989952619561,-0.11482028797884927,-0.08417312800884247,0.022944573312997818,0.14174900949001312,0.08059314638376236,0.22956019639968872,0.2542549967765808,normal
89,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6062790520060661,0.39372094799393387,-0.09866186085586653,-0.0812932476401329,0.02797629125416279,0.1527542620897293,0.08939473330974579,0.23956191539764404,0.2716035842895508,normal
90,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6093197388555798,0.3906802611444202,-0.09859496574517723,-0.07900257408618927,0.028242509812116623,0.15332725644111633,0.0882984846830368,0.24394208192825317,0.27520546317100525,normal
91,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.6044724565235957,0.3955275434764043,-0.11456506874159464,-0.07963128387928009,0.02800525352358818,0.1537700891494751,0.09121662378311157,0.24179381132125854,0.2717662453651428,normal
92,20,scenario2_single_spike,moper,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.60063492897114,0.39936507102886,-0.11578569727303303,-0.08382856845855713,0.02743362821638584,0.15259383618831635,0.09366729110479355,0.23263099789619446,0.26544642448425293,normal
93,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6048048320452716,0.3951951679547284,-0.09869429369500402,-0.08495226502418518,0.026875684037804604,0.15139853954315186,0.09088664501905441,0.2334205061197281,0.26517146825790405,normal
94,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6082203580644339,0.39177964193556614,-0.09861915212258246,-0.07855647802352905,0.02641589380800724,0.1481492966413498,0.0919003114104271,0.2254941463470459,0.25936979055404663,normal
95,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6110466526572739,0.38895334734272613,-0.09855697364153998,-0.09157101064920425,0.02589249424636364,0.15017548203468323,0.09411957114934921,0.22743377089500427,0.26126253604888916,normal
96,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6134108185808385,0.38658918141916154,-0.09850496199122155,-0.08371105790138245,0.025533612817525864,0.1465848982334137,0.09000387787818909,0.2233879268169403,0.2566654682159424,normal
97,20,scenario2_single_spike,moper,50,0.0,1,0.09,0.11199999999999999,0.6154107982746049,0.3845892017253951,-0.09846096243795868,-0.07798662781715393,0.026325423270463943,0.15069928765296936,0.09366060048341751,0.23042158782482147,0.26348352432250977,normal
98,20,scenario2_single_spike,moper,50,1.0,0,0.060625,0.197,0.6097515772287297,0.39024842277127025,-0.11384512865543198,-0.09526856988668442,0.026825083419680595,0.1544090211391449,0.09480760991573334,0.2347346395254135,0.267758309841156,normal
99,20,scenario2_single_spike,moper,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.6052768329932414,0.3947231670067586,-0.11515109096941148,-0.09324315190315247,0.026826446875929832,0.15532299876213074,0.09791819006204605,0.2337729036808014,0.2658740282058716,normal
