timestep,seed,scenario,agent,workload_level,queue_avg,action,selected_latency_s,selected_energy_j,latency_weight,energy_weight,reward,actor_loss,critic_loss,td_error,td_lat,td_eng,replay_priority,phase
0,50,scenario3_repeated_spike,MOPER,50,4.0,1,0.09145454545454544,0.11316363636363636,0.37963480414742923,0.6203651958525708,-0.10492210988814489,,,,,,,normal
1,50,scenario3_repeated_spike,MOPER,50,4.6,0,0.062875,0.2006,0.43339833521282545,0.5666016647871746,-0.1409102142828136,,,,,,,normal
2,50,scenario3_repeated_spike,MOPER,50,5.140000000000001,0,0.06321249999999999,0.20113999999999999,0.4742760900509677,0.5257239099490323,-0.13572428458949515,,,,,,,normal
3,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.5121334801160112,0.48786651988398877,-0.10073306343744774,,,,,,,normal
4,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.5338589086181802,0.4661410913818198,-0.12419499133719569,,,,,,,normal
5,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.5574743418487949,0.44252565815120515,-0.0997355644793265,,,,,,,normal
6,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.5755800751763839,0.4244199248236161,-0.09933723834611954,,,,,,,normal
7,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.5894692557342932,0.4105307442657068,-0.09903167637384555,,,,,,,normal
8,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6001312091671092,0.39986879083289084,-0.09879711339832359,,,,,,,normal
9,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6010509440743345,0.39894905592566554,-0.11503167750186263,,,,,,,normal
10,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6087556640606965,0.3912443359393035,-0.09860737539066466,,,,,,,normal
11,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6146950710226698,0.38530492897733015,-0.09847670843750125,,,,,,,normal
12,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6192821228302355,0.38071787716976446,-0.09837579329773481,,,,,,,normal
13,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6228328141829775,0.37716718581702247,-0.09829767808797449,,,,,,,normal
14,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6183116377343854,0.38168836226561464,-0.11267775040397321,,,,,,,normal
15,50,scenario3_repeated_spike,MOPER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.6146556277611228,0.3853443722388772,-0.1138688924897075,,,,,,,normal
16,50,scenario3_repeated_spike,MOPER,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.6116535761606083,0.38834642383939166,-0.11490352069538406,,,,,,,normal
17,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6162234433392375,0.3837765566607625,-0.09844308424653676,,,,,,,normal
18,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6197933619716635,0.38020663802833654,-0.0983645460366234,,,,,,,normal
19,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6152955424943626,0.3847044575056374,-0.11308907039233132,,,,,,,normal
20,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6188918600025336,0.3811081399974664,-0.09838437907994425,,,,,,,normal
21,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6144166784060754,0.3855833215939246,-0.11320892548237146,,,,,,,normal
22,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6180392438184416,0.38196075618155845,-0.09840313663599429,,,,,,,normal
23,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6135866053359028,0.3864133946640972,-0.11332212669731626,,,,,,,normal
24,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6172349349961134,0.38276506500388663,-0.0984208314300855,,,,,,,normal
25,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6128044611692713,0.38719553883072866,-0.11342879160804062,,,,,,,normal
26,50,scenario3_repeated_spike,MOPER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.6092357595100111,0.3907642404899889,-0.11460985622798761,,,,,,,normal
27,50,scenario3_repeated_spike,MOPER,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.6063200798101098,0.3936799201898902,-0.11563429636471806,,,,,,,normal
28,50,scenario3_repeated_spike,MOPER,50,3.439,0,0.062149375,0.199439,0.6038994267275931,0.3961005732724069,-0.11652987416685376,,,,,,,normal
29,50,scenario3_repeated_spike,MOPER,50,4.0951,0,0.06255943750000001,0.20009510000000003,0.6018544089178338,0.3981455910821662,-0.11731865514093984,,,,,,,normal
30,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6071056156612203,0.39289438433877966,-0.09864367645545315,,,,,,,normal
31,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6112749311341864,0.3887250688658136,-0.09855195151504789,,,,,,,normal
32,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6072625321358845,0.39273746786411545,-0.11418457217996875,,,,,,,normal
33,50,scenario3_repeated_spike,MOPER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.6040341208434927,0.39596587915650727,-0.11532098525418401,,,,,,,normal
34,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6086012611845739,0.3913987388154261,-0.09861077225393935,,,,,,,normal
35,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6048997486738878,0.39510025132611215,-0.11450679677459855,,,,,,,normal
36,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6091956403332885,0.39080435966671145,-0.09859769591266765,,,,,,,normal
37,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6126468617554561,0.38735313824454387,-0.09852176904137996,,,,,,,normal
38,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6154435947096251,0.38455640529037494,-0.09846024091638825,,,,,,,normal
39,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6103816254637755,0.3896183745362245,-0.11375920582737761,,,,,,,normal
40,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6136244371860907,0.3863755628139093,-0.098500262381906,,,,,,,normal
41,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6162584275449023,0.38374157245509766,-0.09844231459401215,,,,,,,normal
42,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6110701245928616,0.3889298754071384,-0.1136653117586485,,,,,,,normal
43,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6142132095477846,0.3857867904522154,-0.09848730938994874,,,,,,,normal
44,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6167679917882205,0.3832320082117795,-0.09843110418065915,,,,,,,normal
45,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6115174779173521,0.3884825220826479,-0.1136043039490211,,,,,,,normal
46,50,scenario3_repeated_spike,MOPER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.6073390655570703,0.3926609344429297,-0.11486915800002903,,,,,,,normal
47,50,scenario3_repeated_spike,MOPER,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.6039754938632718,0.39602450613672824,-0.1159555427389565,,,,,,,normal
48,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6083722226285959,0.3916277773714041,-0.09861581110217088,,,,,,,normal
49,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6119072426184718,0.38809275738152815,-0.0985380406623936,,,,,,,normal
50,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6147742960879973,0.3852257039120027,-0.09847496548606405,,,,,,,normal
51,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6097673756093143,0.39023262439068573,-0.11384297415127977,,,,,,,normal
52,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6130581277900994,0.3869418722099006,-0.09851272118861781,,,,,,,normal
53,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6157342340539294,0.38426576594607065,-0.09845384685081354,,,,,,,normal
54,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6179321214429907,0.3820678785570093,-0.0984054933282542,,,,,,,normal
55,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.61975662267724,0.38024337732276003,-0.09836535430110072,,,,,,,normal
56,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6212883689182838,0.37871163108171624,-0.09833165588379775,,,,,,,normal
57,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6225894477901446,0.3774105522098554,-0.09830303214861681,,,,,,,normal
58,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6237077340867485,0.3762922659132515,-0.09827842985009153,,,,,,,normal
59,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6173466162230901,0.38265338377690994,-0.1128093552125761,,,,,,,normal
60,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.619564148226089,0.38043585177391104,-0.09836958873902604,,,,,,,normal
61,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6213841200899616,0.3786158799100384,-0.09832954935802084,,,,,,,normal
62,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6228939375866017,0.3771060624133983,-0.09829633337309476,,,,,,,normal
63,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6241607992544884,0.3758392007455116,-0.09826846241640125,-0.07948527485132217,0.02048230729997158,0.10565607994794846,0.10867594182491302,0.1530693769454956,0.20098727941513062,normal
64,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6252364235769402,0.3747635764230598,-0.09824479868130731,-0.07459233701229095,0.01683138497173786,0.10511463135480881,0.10681678354740143,0.15180088579654694,0.19818854331970215,normal
65,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6188360612319451,0.3811639387680549,-0.11260623214949349,-0.0745718777179718,0.016259031370282173,0.10525943338871002,0.10571262985467911,0.1510348916053772,0.1951102912425995,normal
66,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6210080520085718,0.3789919479914282,-0.09833782285581141,-0.07401306182146072,0.0156437736004591,0.1046457290649414,0.10372768342494965,0.14928381145000458,0.19245043396949768,normal
67,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6154491488153262,0.3845508511846738,-0.11306812233030988,-0.07524922490119934,0.015203003771603107,0.10691968351602554,0.10278557986021042,0.14824417233467102,0.19003137946128845,normal
68,50,scenario3_repeated_spike,MOPER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.6110187899988924,0.38898121000110764,-0.11436609367227643,-0.0749649852514267,0.015165576711297035,0.10715219378471375,0.10403883457183838,0.14846813678741455,0.19054913520812988,normal
69,50,scenario3_repeated_spike,MOPER,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.6074460868006842,0.39255391319931576,-0.11548001510939576,-0.07446401566267014,0.014887196943163872,0.10769134014844894,0.10194838047027588,0.14816179871559143,0.18955682218074799,normal
70,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6116499416366351,0.3883500583633649,-0.09854370128399402,-0.0731622725725174,0.014763706363737583,0.10675401985645294,0.09937646985054016,0.14905746281147003,0.18911051750183105,normal
71,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6076585159928406,0.3923414840071594,-0.11413056988147638,-0.07360607385635376,0.014399428851902485,0.10901685059070587,0.09972861409187317,0.14598071575164795,0.1863747239112854,normal
72,50,scenario3_repeated_spike,MOPER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.6044409387785175,0.39555906122148254,-0.11526536815724195,-0.07048611342906952,0.013914468698203564,0.10807265341281891,0.09782300889492035,0.14409327507019043,0.18549662828445435,normal
73,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6090127689315253,0.39098723106847466,-0.09860171908350643,-0.07067911326885223,0.013665933161973953,0.10928601026535034,0.09474638104438782,0.14699584245681763,0.1851785033941269,normal
74,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.612667903535839,0.387332096464161,-0.09852130612221154,-0.07037266343832016,0.013551059179008007,0.11136233806610107,0.09493578970432281,0.1486753225326538,0.1849815845489502,normal
75,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6156137745546261,0.38438622544537393,-0.09845649695979822,-0.06659319251775742,0.01310993917286396,0.11141432076692581,0.09535440802574158,0.14543083310127258,0.18370488286018372,normal
76,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6106604831360276,0.3893395168639724,-0.11372117661232424,-0.06712770462036133,0.013356184586882591,0.11497025936841965,0.09510017186403275,0.15116608142852783,0.18786287307739258,normal
77,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6139800868269313,0.3860199131730687,-0.09849243808980751,-0.06377966701984406,0.012555288150906563,0.11126580089330673,0.09056585282087326,0.14887651801109314,0.18304067850112915,normal
78,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6166667628894216,0.38333323711057843,-0.09843333121643272,-0.06287579238414764,0.012728746980428696,0.11585216224193573,0.09466813504695892,0.1514151394367218,0.18740129470825195,normal
79,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6115139800307988,0.3884860199692012,-0.11360478097329982,-0.06258729100227356,0.012671812437474728,0.11584582924842834,0.09159005433320999,0.15637224912643433,0.18903321027755737,normal
80,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6146786272253917,0.3853213727746083,-0.09847707020104138,-0.061801277101039886,0.012095793150365353,0.1153142899274826,0.09080926328897476,0.15446525812149048,0.1860528588294983,normal
81,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6098935278187165,0.39010647218128347,-0.11382577014372253,-0.0652017593383789,0.012867674231529236,0.11936724931001663,0.09223905205726624,0.16104067862033844,0.1925571858882904,normal
82,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6133445943779107,0.38665540562208933,-0.09850641892368596,-0.06306301057338715,0.013482383452355862,0.12334327399730682,0.09500230848789215,0.16630816459655762,0.1997106373310089,normal
83,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.616134459147716,0.38386554085228397,-0.09844504189875025,-0.057947251945734024,0.012075797654688358,0.11624296754598618,0.08884745836257935,0.15796416997909546,0.1892206370830536,normal
84,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6184109557040045,0.3815890442959955,-0.09839495897451189,-0.05762001872062683,0.012138759717345238,0.12207680940628052,0.09284576773643494,0.1659930944442749,0.1988753229379654,normal
85,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6129420921611879,0.3870579078388121,-0.113410022181518,-0.06259965896606445,0.012998884543776512,0.11813945323228836,0.09263648092746735,0.1585918366909027,0.18973934650421143,normal
86,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6158603340936243,0.3841396659063757,-0.09845107264994025,-0.06545864045619965,0.013946257531642914,0.12243783473968506,0.09302181750535965,0.16751158237457275,0.19878540933132172,normal
87,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6108845810783025,0.38911541892169754,-0.11369061525544649,-0.05540865287184715,0.012089045718312263,0.12076647579669952,0.09274560213088989,0.1628488302230835,0.19538675248622894,normal
88,50,scenario3_repeated_spike,MOPER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.6069132324459482,0.3930867675540518,-0.11492737470923331,-0.05051514133810997,0.010377524420619011,0.12105507403612137,0.09199901670217514,0.16481859982013702,0.19660164415836334,normal
89,50,scenario3_repeated_spike,MOPER,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.6037050894717868,0.3962949105282132,-0.11599259253466129,-0.05086503177881241,0.01032894104719162,0.12406674027442932,0.0914076641201973,0.17351172864437103,0.20249266922473907,normal
90,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6082189550020857,0.39178104499791433,-0.0986191829899541,-0.04714617133140564,0.010458813980221748,0.1268252730369568,0.09581001102924347,0.1729389727115631,0.20638428628444672,normal
91,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6118418468674126,0.3881581531325874,-0.09853947936891691,-0.07005521655082703,0.01642979122698307,0.12749135494232178,0.09795905649662018,0.1723170280456543,0.2059842199087143,normal
92,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6147744161164868,0.38522558388351325,-0.09847496284543729,-0.048084985464811325,0.010192856192588806,0.12689492106437683,0.09515783190727234,0.17516322433948517,0.20717169344425201,normal
93,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6098150716823021,0.3901849283176979,-0.11383646959932606,-0.06704266369342804,0.013966331258416176,0.12386924773454666,0.09335557371377945,0.16898374259471893,0.1988590508699417,normal
94,50,scenario3_repeated_spike,MOPER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.6058618902201847,0.39413810977981534,-0.11507110633327301,-0.07318148761987686,0.017187055200338364,0.13085231184959412,0.09933052957057953,0.17836812138557434,0.212791308760643,normal
95,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6098831449618224,0.3901168550381776,-0.0985825708108399,-0.07107002288103104,0.017299434170126915,0.1278109848499298,0.09780827164649963,0.17232027649879456,0.20694154500961304,normal
96,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6131284983382176,0.3868715016617824,-0.09851117303655921,-0.0467078760266304,0.01050508115440607,0.130254328250885,0.09869042038917542,0.1771114021539688,0.21164372563362122,normal
97,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6084116554503637,0.3915883445496363,-0.11402786048795666,-0.048413682729005814,0.010598275810480118,0.1275358349084854,0.0975181832909584,0.17214728891849518,0.20682023465633392,normal
98,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6119302515289988,0.3880697484710012,-0.09853753446636201,-0.07957149296998978,0.018863830715417862,0.13507258892059326,0.1009572446346283,0.18572674691677094,0.22053048014640808,normal
99,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6147861713268055,0.38521382867319454,-0.09847470423081028,-0.08031242340803146,0.016668152064085007,0.12856966257095337,0.09682976454496384,0.17702330648899078,0.20664218068122864,normal
100,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6171267415719012,0.38287325842809883,-0.09842321168541816,-0.08062904328107834,0.018290748819708824,0.13260939717292786,0.10014846920967102,0.18070070445537567,0.21612758934497833,normal
101,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6190651642900113,0.38093483570998865,-0.09838056638561975,-0.07609670609235764,0.018346156924962997,0.1335431933403015,0.10370738059282303,0.17785492539405823,0.2159082144498825,normal
102,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6133397669151922,0.3866602330848078,-0.11335578928694068,-0.04985519498586655,0.011718204244971275,0.13238953053951263,0.102581687271595,0.17703518271446228,0.21407891809940338,normal
103,50,scenario3_repeated_spike,MOPER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.6087948555990933,0.3912051444009067,-0.11467013330390896,-0.05454268679022789,0.012448009103536606,0.13773617148399353,0.10604246705770493,0.1847904622554779,0.2228563129901886,normal
104,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6123512844549442,0.38764871554505576,-0.09852827174199122,-0.058120403438806534,0.012224958278238773,0.13484081625938416,0.10218503326177597,0.18371330201625824,0.21883925795555115,normal
105,50,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6078710366797783,0.39212896332022174,-0.11410158737279524,-0.05852983146905899,0.013523899018764496,0.13156452775001526,0.10318818688392639,0.17344991862773895,0.21206051111221313,normal
106,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6115679245790749,0.38843207542092506,-0.09854550565926035,-0.08759678900241852,0.0192782711237669,0.13605064153671265,0.1030319482088089,0.18559984862804413,0.22171016037464142,normal
107,50,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6145576903024388,0.3854423096975612,-0.09847973081334634,-0.06200406327843666,0.013783148489892483,0.13212060928344727,0.1032891571521759,0.1766694337129593,0.21387386322021484,normal
